Role,Job Title,Company,Location,Experience,Salary,Skills,Posted Date
Data Analyst,Data Analyst,dhgfd,"Hyderabad, Gurugram, Bengaluru",4-9 Yrs,5-11 Lacs PA,"VBA, Advanced Excel, Tableau, Macros, Power Query, Excellent Verbal And Written Communication Skills, Excellent Communication In English, Written communication",1 day ago
Data Analyst,Data Analyst (Only Work from Office - 11AM To 8PM) Bangalore & Chennai,Ismart Clearvue Solutions,"Chennai, Bengaluru",4-6 Yrs,6-8 Lacs PA,"Power BI, SQL, MDX, Excel, Power Pivot, Dax, Power Query, Bi",1 day ago
Data Analyst,Data Analyst,Quinnox,Hybrid - Bengaluru,6-9 Yrs,N/A,"sigma, Snowflake Db, Tableau, Tibco Spotfire, Data Analytics, Cdc, Power Bi, ETL Tool",1 week ago
Data Analyst,Python Data Analyst,Alp Consulting Ltd.,N/A,2-5 Yrs,N/A,"Report generation, Mechanical, Programming, Data Analyst, Python, Data, Python Data, Data analysis",1 day ago
Data Analyst,Data Analyst,hlkn,"Pune, Chennai, Mumbai (All Areas)",4-9 Yrs,5-11 Lacs PA,"VBA, Advanced Excel, Tableau, Macros, Power Query, Excellent Verbal And Written Communication Skills, Excellent Communication In English, Written communication",1 day ago
Data Analyst,Data Analyst,Tata Technologies,"Chennai, Bengaluru",4-6 Yrs,N/A,"Data Analytics, NoSQL, Power Bi, testing, Cicd Pipeline, Code Review, Coding, Analytics",1 week ago
Data Analyst,Audit Data Analyst,Tech Mahindra,Noida,4-7 Yrs,N/A,"Data Validation, VLOOKUP, Excellent Communication Skills, Advanced Excel, Formulas, X Lookup, Excel, Lookup",1 day ago
Data Analyst,Data Analyst (Contract - 6months),WPP,Gurugram,5-8 Yrs,N/A,"Computer science, Data analysis, Manager Quality Assurance, Google Analytics, Web analytics, Data modeling, Business analytics, Digital marketing",1 day ago
Data Analyst,Data Analyst,Enterprise Minds,Bengaluru,1-4 Yrs,N/A,"hive, python, sql, pandas, spark, data analysis, sql queries, data analytics",1 week ago
Data Analyst,Data Analyst - Python Programming,Leading Client,Remote,4-6 Yrs,N/A,"Data Analyst, Power BI, Data Visualization, Data Visualization Tools, SQL Server, Data Modeling, Tableau, Data Warehousing",1 week ago
Data Analyst,Azure Data Analyst,Tata Consultancy Services,"Indore, Hyderabad, Pune",4-9 Yrs,N/A,"Azure Synapse, ADF, Power BI, Data analysis, Microsoft Azure, Azure Data Factory, Bi, Oracle ADF",2 days ago
Data Analyst,Data Analyst,Product based company,Bengaluru,8-13 Yrs,20-27.5 Lacs PA,"S3, Data Analysis, QlikSense, AWS, Athena, Data Visualization, Lambada, Dashboard Development",1 day ago
Data Analyst,Data Analyst,Fortune India 500 IT Services Firm,Bengaluru,7-12 Yrs,14-24 Lacs PA,"T-SQL, Data Warehousing, ETL, Star Schema, RDBMS, OLAP, ER Model, Data Modeling",1 day ago
Data Analyst,Gen AI/ AIML/ Data Analyst,Tata Consultancy Services,"New Delhi, Gurugram, Delhi / NCR",8-13 Yrs,N/A,"Gen AI, Telecom, Al, Data Analytics, Ml, Aiml, Telecommunication, Analytics",2 weeks ago
Data Analyst,Data Analyst,Leading Client,Hybrid - Bengaluru,0-2 Yrs,N/A,"Data Analysis, Data Science, Data visualizations, Data Analytics, Data, Analysis, Analytics, Data Visualization",2 weeks ago
Data Analyst,Data Analyst,Cloud Xtreme,Hybrid - Hyderabad,4-6 Yrs,9-19 Lacs PA,"Database Creation, Tableau, Reporting, Data Analytics, SQL Azure, DBMS, SQL Server, Data analysis",1 week ago
Data Analyst,Data Analyst- 6 Months Contractual,Egon Zehnder,Gurugram,1-5 Yrs,N/A,"global operations, Data validation, Senior management, Analytical, Data Analyst, Data analytics, Manager Quality Control, Operations",1 week ago
Data Analyst,Data Analyst,PubMatic,Pune,2-5 Yrs,N/A,"hive, analytical, formulas, advertising, microsoft, dashboards, sql, analytics",1 week ago
Data Analyst,Data Analyst || Manager || Hyderabad || Night Shift,MNC,Hyderabad,7-12 Yrs,14-18 Lacs PA,"Data Analysis, tableau, Power Bi, Data Management, Tableau Reporting, Data Analytics, DA, SQL",2 days ago
Data Analyst,Data Analyst,Ascend Capital Pvt. Ltd.,Jaipur,1-3 Yrs,2.5-4 Lacs PA,"Advanced Excel, Data Transformation, Pivot Table, Mis Analysis, Data Analysis, Formulas, Data Cleansing, Dashboard Development",1 day ago
Data Analyst,Data Analyst,Vipany Management Consulting,"Hybrid - Pune, Mumbai (All Areas)",3-6 Yrs,N/A,"SQL Queries, Tableau / Power Bi, SQL, Data Visualization, Python, Bi, Data, Query",1 day ago
Data Analyst,Data Analyst,Sure Solution,"Mumbai(Andheri East), Mumbai Suburban, Mumbai (All Areas)",3-7 Yrs,4-5 Lacs PA,"Power Bi, Advanced Excel, MIS Reporting, MIS Preparation, MIS Development, Conditional Formatting, Formulas, MIS Generation",1 day ago
Data Analyst,Data Analyst,Leading Client,Gurugram,6-8 Yrs,N/A,"Statistical Analyst, Power BI, Dashboard Design, Data Analyst, Tableau, Data Analytics, SQL, Python",2 weeks ago
Data Analyst,Data Analyst,Leading Client,Gurugram,4-6 Yrs,N/A,"Data Warehousing, Power BI, Data Visualization, Data Analyst, Data Visualization Tools, SQL Server, Data Modeling, Tableau",2 weeks ago
Data Analyst,Data Analyst - Python Programming,Leading Client,Mumbai,4-6 Yrs,N/A,"Data Warehousing, Power BI, Data Visualization, Data Analyst, Data Visualization Tools, SQL Server, Data Modeling, Tableau",1 week ago
Data Analyst,BA4 - Data Analyst,Barclays,Noida,1-7 Yrs,N/A,"Data analysis, Data management, Operational risk, Analytical, MS Office, Risk management, Operations, Analytics",1 day ago
Data Analyst,Data Analyst - Python Programming,Leading Client,Remote,4-6 Yrs,N/A,"Python Programming, Power BI, Data Visualization, Data Analyst, Data Visualization Tools, SQL Server, Data Modeling, Tableau",1 week ago
Data Analyst,Data Analyst - Python Programming,Leading Client,Remote,4-6 Yrs,N/A,"Python Programming, Power BI, Data Visualization, Data Analyst, Data Visualization Tools, SQL Server, Data Modeling, Tableau",2 weeks ago
Data Analyst,Data Analyst,SGS India,Pune,2-5 Yrs,N/A,"ssms, integration, power bi, mysql, data visualization, oracle sql, sql server, sql",1 day ago
Data Analyst,Data Analyst,Sterling Tools (STL),Faridabad,4-9 Yrs,N/A,"Data Analytics, Operational Excellence, Business Analytics, Data Analysis, Manufacturing Operations, Advanced Excel, Dashboards, Business Analysis",1 week ago
Data Analyst,FHIR Data Analyst,Infosys,Bengaluru,5-10 Yrs,N/A,"fhir, documentation, facilitation, sdlc, agile methodology, data analysis, dns, solution delivery",2 days ago
Data Analyst,Data Analyst - Governance,Apptad Inc,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-3 Yrs,N/A,"Regulatory reporting, data governance, Data quality, Data Analyst, RTO, Private equity, SQL, Data",2 weeks ago
Data Analyst,Workday HCM Data Analyst,Alp Consulting Ltd.,N/A,2-3 Yrs,N/A,"Business process, Health insurance, Data analysis, Payroll, Data management, HRIS, Data Analyst, Troubleshooting",1 day ago
Data Analyst,Data Analyst,Titan Company,Hosur,0-5 Yrs,N/A,"Data Analytics, Data Visualization, Dashboard Development, Data Reporting, Development, Data analysis, Data, Dashboards",2 weeks ago
Data Analyst,Data Analyst,VDart Technologies,Tiruchirapalli,2-4 Yrs,N/A,"Excel, Power Bi, Data Analysis, Data, Analysis, Bi",1 day ago
Data Analyst,Data Analyst,Invent Arc,Ahmedabad,1-3 Yrs,N/A,"Data analysis, Data collection, Data Analyst, Data mining, Data, Collections, Analysis",1 day ago
Data Analyst,Data Analyst/Office Admin,Gurmeet Singh,Ludhiana(Gill Road),1-5 Yrs,2-5 Lacs PA,"Data Analysis, EMR Software, ClickUp, Google Sheets, Report Automation, Excel, Power BI, Dashboard Creation",1 day ago
Data Analyst,Data Analyst,Morningstar,Navi Mumbai,0-2 Yrs,N/A,"data management, data analytics, sql queries, data analysis, data validation, policies, commodities, investment",2 weeks ago
Data Analyst,"Data Analyst, EMSX",Amazon,Bengaluru,1-5 Yrs,N/A,"Automation, SAS, Data management, Data modeling, Business analysis, Windows, SPSS, Data mining",1 week ago
Data Analyst,"Data Analyst I, Field Effectiveness & Alignment",Bristol Myers Squibb,Hyderabad,1-3 Yrs,N/A,"Operations research, Project management, Business analytics, Healthcare, Data Analyst, Data mining, IT operations, Analytics",1 day ago
Data Analyst,Data Analyst,BNP Paribas,Chennai,3-8 Yrs,N/A,"python, sql, tableau, database creation, dataprep, data services, data analysis, data management",2 days ago
Data Analyst,Data Analyst,Barclaycard Payments,Noida,3-5 Yrs,N/A,"data bricks, data analysis, stakeholder management, data governance, machine learning, requirement analysis, sql, communication skills",1 day ago
Data Analyst,Data Analyst,Revvity Healthcare,Thane,1-4 Yrs,N/A,"python, data analysis, power bi, machine learning, business intelligence, sql, statistics, communication skills",1 day ago
Data Analyst,Data Analyst,Eurofins,Bengaluru,3-6 Yrs,N/A,"dashboards, sql, data warehousing concepts, etl, crm, microsoft power bi, data analysis, data management",6 days ago
Data Analyst,Data Analyst,Kalamandir Jewellers,Surat,1-4 Yrs,N/A,"Conditional Formatting, Advanced Excel, MIS Reporting, VLOOKUP, Dashboards, MIS Preparation, Formulas, Tableau",1 day ago
Data Analyst,Data Analyst,Abiomed,Pune,4-7 Yrs,N/A,"digital, python, data analysis, supply chain, kpi, business reporting, business solutions, matrix",1 day ago
Data Analyst,Data Analyst,Cargill,Gurugram,6-10 Yrs,N/A,"digital, data analysis, data management, data validation, data manipulation, data integrity, process improvement, data collection",2 days ago
Data Analyst,Data Analyst,Augmont Goldtech,N/A,N/A,N/A,"Tableau, SQL, Power Bi, A/B testing, ETL, Looker, Python, Data analysis",1 day ago
Data Analyst,Data Analyst,Tech SMCSquared GCC,Bengaluru,6-9 Yrs,N/A,"BPO, Data analysis, Automation, Business analytics, Analytical, Consulting, Market research, data visualization",5 days ago
Data Analyst,Data Analyst,Service based Top B2C/B2B MNC in Analytics Domain,Hybrid - Gurugram,3-8 Yrs,N/A,"Data Analyst, SQL, Python, Data, Data analysis",1 day ago
Data Analyst,Data Analyst - C2H,Leading Client,Hybrid - Hyderabad,6-9 Yrs,N/A,"sql, database design, etl, python, presentation skills, schema, mob, surfing",1 day ago
Data Analyst,Data Analyst,Tarento Technologies,Bengaluru,3-4 Yrs,N/A,"Computer science, ERP, Automation, Data structures, Healthcare, Data quality, Informatica, Analytics",6 days ago
Data Analyst,Data Analyst,Rodic Consultants,Mumbai,5-6 Yrs,N/A,"advanced analytics, python, data analysis, bi, data warehousing, power bi, microsoft azure, dashboards",1 day ago
Data Analyst,Data Analyst,Acciojob,Hyderabad,0-2 Yrs,12-20 Lacs PA,"Cdc, Data Analysis, Spark, SQL, Python, Analysis, Data",1 week ago
Data Analyst,Data Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0-2 Yrs,3-4 Lacs PA,"Power Bi, Tableau, Data Analytics, SQL, Python, Excel, Statistics, Data analysis",3 weeks ago
Data Analyst,Data Analyst,Karmanx,Bengaluru,0-1 Yrs,N/A,"Analytical skills, Data analysis, data science, Data modeling, HTML, Data analytics, Data Analyst, Mathematics",3+ weeks ago
Data Analyst,Six Months Contract Role- Data Analyst,Egon Zehnder Information And Research Services Pvt Ltd.,Gurugram,0-1 Yrs,N/A,"Communication Skills, Aptitude, Advanced Excel, Data, Excel, Contracts, Data analysis, Six",1 week ago
Data Analyst,Data Analyst,Barclays,Pune,2-7 Yrs,N/A,"data cleansing, Analyst, Administration, Business objects, SAS, Analytical, Data quality, Stakeholder management",6 days ago
Data Analyst,Data Analyst,Sutara Learning Foundation,Bengaluru(Bannerghatta Road),0-1 Yrs,N/A,"Power Bi, Data Analysis, Tableau, Data Analytics, SQL, s, data, Bigquery",3 weeks ago
Data Analyst,Data Analyst - L4,Wipro,Bengaluru,5-8 Yrs,N/A,"data analysis, data mining, data warehousing, informatica, data integration, python, data validation, business analytics",1 week ago
Data Analyst,Data Analyst,Leading Client,"Mumbai, Gurugram, Bengaluru",1-6 Yrs,N/A,"data analysis, power bi, market research, sql, tableau, digital marketing, python, project management",1 week ago
Data Analyst,Data Analyst,Ascend Capital,Jaipur,1-3 Yrs,2.5-5 Lacs PA,"Advanced Excel, Pivot Table, Report Automation, Automation, Data Manipulation, Formulas, Conditional Formatting, SQL Queries",4 days ago
Data Analyst,Data Analyst || Hyderabad || Night Shift,Wsne Consulting,Hyderabad,3-8 Yrs,4-8.5 Lacs PA,"Data Analysis, Excel, Snowflake, Advanced Excel, Tableau, Data Analytics, DA, SQL",5 days ago
Data Analyst,Data Analyst,Acesoft,Hybrid - Bengaluru,3-7 Yrs,N/A,"Dataikue, Python, SQL, Data, Data analysis",6 days ago
Data Analyst,Data Analyst || Team Lead || Hyderabad || Night Shift,MNC,Hyderabad,5-10 Yrs,7-13 Lacs PA,"data analyst, Excel, Data Analysis, Advanced Excel, Tableau, Data Analytics, DA, SQL",4 days ago
Data Analyst,Data Analyst,Wipro,"Hybrid - Hyderabad, Bengaluru",5-7 Yrs,N/A,"Tableau, AWS, Python, SQL, Data Visualization, Data, Data analysis",1 week ago
Data Analyst,Space Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,Bengaluru,2-5 Yrs,N/A,"data analysis, data management, tririga, hrsd, tableau, python, real estate, machine learning",2 weeks ago
Data Analyst,Data Analyst (IoT),Log9 Materials,Bengaluru,0-6 Yrs,N/A,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",3+ weeks ago
Data Analyst,Data Analyst,Leading Client,Hybrid - Bengaluru,3-5 Yrs,N/A,"Data Analysis, Power BI, Microsoft Fabric, Dashboard development, Data modeling, Salesforce data models, Data engineering, schema design",5 days ago
Data Analyst,Data Analyst,Manpower group Services India,"Noida, Gurugram, Delhi / NCR",6-11 Yrs,N/A,"Power Bi, VBA, ETL, SQL, Python, Data Analysis, Data Visualization, Advanced Excel",5 days ago
Data Analyst,Data Governance Analyst,Leading Client,Hyderabad,9-14 Yrs,N/A,"metadata, data analysis, sql, data quality, data governance, python, data analytics, data mining",2 days ago
Data Analyst,Guidewire Data Analyst,Zensar,"Hybrid - Hyderabad, Pune, Bengaluru",7-12 Yrs,N/A,"Data Warehousing, guidewire data analyst, GW Data Analyst, guidewire data models, Guidewire, ETL, Data analysis, Warehouse",Just now
Data Analyst,"Data Analyst (NetSuite, Workday, Snowflake)",Leading Client,"Hybrid - Kolkata, Pune, Chennai",5-10 Yrs,N/A,"NetSuite, BI tools, ERP transition, Snowflake, R Language, Data Analysis, Workday, SQL",5 days ago
Data Analyst,Data Analyst,Deloitte Consulting,Hybrid - Hyderabad,3-6 Yrs,5-11 Lacs PA,"Advanced Excel, Tableau, Tableau Data Analyst, Tableau Reporting, Data Analyst, Data, Data analysis, Reporting",2 weeks ago
Data Analyst,DATA ANALYST,Brain Insight,"Atpadi, Vellore",0-1 Yrs,N/A,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago
Data Analyst,Data Analyst,Larsen & Toubro (L&T),Pune,3-4 Yrs,N/A,"Tableau, Power Bi, SQL programming, ML modelling, Python, SQL, Data, Modeling",2 weeks ago
Data Analyst,Data Analyst - L3,Wipro,Hyderabad,3-5 Yrs,N/A,"data mining, business analytics, dashboards, sales, reporting tools, python, data validation, pivot table",2 weeks ago
Data Analyst,Data Analyst,Creoquad,Hyderabad,1-3 Yrs,N/A,"Sales, Data Analyst, Analyst 1, Data, Data analysis",2 days ago
Data Analyst,Data Analyst,Varsity Education Management,Hyderabad(Madhapur),2-6 Yrs,3-8 Lacs PA,"Power Bi, Advanced Excel, VBA, Excel Vba, Excel, Data analysis, Bi, Data",5 days ago
Data Analyst,Data Analyst,MACOM,"Sonipat, Kundli",3-8 Yrs,N/A,"VBA, Macros, Excel formulas, conditional formatting, MIS, VLOOKUP, Data analyze, HLOOKUP",5 days ago
Data Analyst,Data Analyst || Hyderabad || Night Shift,MNC,Hyderabad,3-8 Yrs,5-9 Lacs PA,"Data Analysis, Power Bi, Data Visualization, Data Extraction, Advanced Excel, Tableau, Data Analytics, Data Reporting",6 days ago
Data Analyst,Data Analyst,Kennect Solutions,Mumbai,2-4 Yrs,N/A,"MongoDB, Excel, JavaScript, data processing, Data Analysis, Data Analyst, Data, Process",5 days ago
Data Analyst,Data Analyst,Hanker Systems (india),Hyderabad,3-5 Yrs,N/A,"Python, SQL, data analysis, Data Analyst, AWS Cloud, Athena, Redshift, Data",5 days ago
Data Analyst,Data Analyst,Smiths Detection,Bengaluru,2-7 Yrs,N/A,"ERP, SAP, Aviation, Analytical, Billing, DNS, HTML, Recruitment",1 week ago
Data Analyst,Data Analyst,Spectrum Filtration,Kolkata,2-5 Yrs,N/A,"macros, erp, data analysis, sap, oracle, pivot table, power bi, vlookup",6 days ago
Data Analyst,Data Analyst,WPP,Chennai,3-6 Yrs,N/A,"data cleansing, corporate sustainability, Manager Quality Assurance, Analytical, Issue resolution, Data quality, MS Office, Recruitment",1 week ago
Data Analyst,Tcs is hiring For Data Analyst,Tata Consultancy Services,Hyderabad,3-8 Yrs,N/A,"Hadoop, Hive, Spark, Data analysis, Data, Hiring, TCAE",1 week ago
Data Analyst,Site Data Analyst,Apraava Renewable Energy,"Bhopal, Hamirpur",4-9 Yrs,N/A,"Warehouse, Project implementation, Compliance, Gap analysis, Data Analyst, SCM, Functionality testing, HSSE",2 days ago
Data Analyst,Data Analyst,NB Healthcare Technologies,Hyderabad,3-6 Yrs,N/A,"Airflow, Data Build Tool, Reporting Tools, SQL, Python, Azure Cloud, GCP, Cloud",2 days ago
Data Analyst,Data Analyst,NMS Consultant,Hybrid - Thiruvananthapuram,6-11 Yrs,N/A,"Power Bi, Data Analysis, ETL, SQL, Python, Tableau, Analysis, Bi",1 week ago
Data Analyst,Data Analyst,Zeta Global,Hyderabad,5-10 Yrs,N/A,"Data analysis, data conversions, Database Marketing, DMexpress, data security, Snowflake, Sql Server, Oracle",2 days ago
Data Analyst,Data Informatics Analyst - ETL/Python,Quadrant Technologies,"Hyderabad, Bengaluru",3-7 Yrs,N/A,"Data Informatics Analysis, OneDrive, Power BI, Power Apps, Power Automate, SharePoint, ETL, Python",1 day ago
Data Analyst,Data Analyst,Quarks Technosoft,Noida,5-10 Yrs,N/A,"GIT, data science, power bi, Data quality, Autodesk, data visualization, Business intelligence, big data",5 days ago
Data Analyst,Data analyst,Inginit,Mumbai,0-3 Yrs,N/A,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3 weeks ago
Data Analyst,Data Analyst,Dpdzero,Bengaluru,1-3 Yrs,N/A,"data analysis, postgresql, numpy, sql, Analysis, Data",1 week ago
Data Analyst,Data Analyst,Devrev,Bengaluru,2-4 Yrs,N/A,"SQL queries, Data analysis, data science, Debugging, Data Analyst, Data mining, Data warehousing, Analytics",1 week ago
Data Analyst,Data Analyst,S&P Global Market Intelligence,Hyderabad,1-2 Yrs,N/A,"project management, data collection, sql, bi tools, secondary research, data analysis, data validation, management skills",1 week ago
Data Analyst,Data Analyst,Legistify,Gurugram,0-1 Yrs,N/A,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago
Data Analyst,Data Analyst- Bengaluru,Super Scholar,Bengaluru,1-3 Yrs,N/A,"Data analysis, Automation, Data management, Analytical, Data collection, System design, Data quality, Data Analyst",1 week ago
Data Analyst,Data Analyst,Ebizneeds (India) Internet Solutions Pvt. Ltd,Jaipur,0-3 Yrs,N/A,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",3+ weeks ago
Data Analyst,Data Analyst (Deployment),Legistify,Gurugram,0-2 Yrs,N/A,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",3+ weeks ago
Data Analyst,Data Analyst,Flipkart,Bengaluru,7-12 Yrs,20-32.5 Lacs PA,"Power Bi, Advanced Excel, Data Analytics, Python, SQL, Analytics, Data analysis, Excel",3 weeks ago
Data Analyst,Data Analyst,Airbus,Bengaluru,4-6 Yrs,N/A,"Pyspark, Ai Algorithms, Data Visualization, Data Analytics, Ml Algorithms, Critical Thinking, Data Analysis, SDLC Life Cycle",3 weeks ago
Data Analyst,Data Analyst,Leading Client,"Hyderabad, Gurugram",2-4 Yrs,N/A,"data analysis, bi, power bi, dashboards, data visualization, python, macros, data analytics",1 week ago
Data Analyst,Space Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,Surat,2-5 Yrs,N/A,"Data Analysis, tableau, python, data management, data visualization, machine learning, strategic planning, Management",2 weeks ago
Data Analyst,Data Analyst,Dhira Software Labs,Bengaluru,3-6 Yrs,N/A,"Data Analyst, Ml Algorithms, Python, Algorithms, Ml, Data analysis, Data",1 day ago
Data Analyst,Data Analyst,CGI,Hyderabad,3-8 Yrs,5-14 Lacs PA,"Excel, Power Bi, Tableau, Data Analyst, Advanced Excel, SQL, Data, Data analysis",1 week ago
Data Analyst,Space Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,Ghaziabad,2-5 Yrs,N/A,"data analysis, data management, tririga, hrsd, tableau, python, real estate, machine learning",2 weeks ago
Data Analyst,BA / Data Analyst,Apptad Inc,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",7-12 Yrs,N/A,"Data analysis, Excel, Data Analyst, Python, Analysis, Data",2 weeks ago
Data Analyst,Wireless Data Analyst - Contract,Informica Technoservices,"Hyderabad, Chennai, Bengaluru",10-15 Yrs,N/A,"LTE, Data Bricks, Wireless networks, Python scripting, Tableau, Reporting Tools, Grafana, Data",1 week ago
Data Analyst,Group Data Privacy (GDP) Data Privacy Analyst - NCT,Deutsche Bank,Bengaluru,1-5 Yrs,N/A,"relationship building, sharepoint, lotus notes, presentation skills, regulations, rhino, jsp, mql",5 days ago
Data Analyst,Guidewire ClaimsCenter Data Analyst,Sky Systems,Bengaluru,5-7 Yrs,N/A,"Automation, Data analysis, Data migration, SAS, PLSQL, Business intelligence, microsoft, JIRA",1 week ago
Data Analyst,Claims Data Analyst,Stack Digital,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-10 Yrs,N/A,"Automation, Data analysis, Data migration, SAS, PLSQL, Toad, QlikView, JIRA",2 weeks ago
Data Analyst,Data Analyst - B,Capgemini,Pune,2-5 Yrs,N/A,"algorithms, charts, data analysis, data validation, dashboards, hlookup, macros, python",2 weeks ago
Data Analyst,Data Analyst,TVS Srichakra,Madurai,5-10 Yrs,N/A,"SAP, Data Interpretation, Data Analytics, Data, Data analysis, Analysis, Interpretation, Analytics",2 weeks ago
