role,job_title,company,location,exp_min,exp_max,exp_avg,min_sal,max_sal,sal_avg_lpa,skills_list,skills_normalized
Data Analyst,Data Analyst,dhgfd,"Hyderabad, Gurugram, Bengaluru",4.0,9.0,6.5,5.0,11.0,8.0,"['vba', 'advanced excel', 'tableau', 'macros', 'power query', 'excellent verbal and written communication skills', 'excellent communication in english', 'written communication']","vba, advanced excel, tableau, macros, power query, excellent verbal and written communication skills, excellent communication in english, written communication"
Data Analyst,Data Analyst (Only Work from Office - 11AM To 8PM) Bangalore & Chennai,Ismart Clearvue Solutions,"Chennai, Bengaluru",4.0,6.0,5.0,6.0,8.0,7.0,"['power bi', 'sql', 'mdx', 'excel', 'power pivot', 'dax', 'power query', 'bi']","power bi, sql, mdx, excel, power pivot, dax, power query, bi"
Data Analyst,Data Analyst,Quinnox,Hybrid - Bengaluru,6.0,9.0,7.5,6.5,11.2,8.8,"['sigma', 'snowflake db', 'tableau', 'tibco spotfire', 'data analytics', 'cdc', 'power bi', 'etl tool']","sigma, snowflake db, tableau, tibco spotfire, data analytics, cdc, power bi, etl tool"
Data Analyst,Python Data Analyst,Alp Consulting Ltd.,Unknown,2.0,5.0,3.5,6.5,11.2,8.8,"['report generation', 'mechanical', 'programming', 'data analyst', 'python', 'data', 'python data', 'data analysis']","report generation, mechanical, programming, data analyst, python, data, python data, data analysis"
Data Analyst,Data Analyst,hlkn,"Pune, Chennai, Mumbai (All Areas)",4.0,9.0,6.5,5.0,11.0,8.0,"['vba', 'advanced excel', 'tableau', 'macros', 'power query', 'excellent verbal and written communication skills', 'excellent communication in english', 'written communication']","vba, advanced excel, tableau, macros, power query, excellent verbal and written communication skills, excellent communication in english, written communication"
Data Analyst,Data Analyst,Tata Technologies,"Chennai, Bengaluru",4.0,6.0,5.0,6.5,11.2,8.8,"['data analytics', 'nosql', 'power bi', 'testing', 'cicd pipeline', 'code review', 'coding', 'analytics']","data analytics, nosql, power bi, testing, cicd pipeline, code review, coding, analytics"
Data Analyst,Audit Data Analyst,Tech Mahindra,Noida,4.0,7.0,5.5,6.5,11.2,8.8,"['data validation', 'vlookup', 'excellent communication skills', 'advanced excel', 'formulas', 'x lookup', 'excel', 'lookup']","data validation, vlookup, excellent communication skills, advanced excel, formulas, x lookup, excel, lookup"
Data Analyst,Data Analyst (Contract - 6months),WPP,Gurugram,5.0,8.0,6.5,6.5,11.2,8.8,"['computer science', 'data analysis', 'manager quality assurance', 'google analytics', 'web analytics', 'data modeling', 'business analytics', 'digital marketing']","computer science, data analysis, manager quality assurance, google analytics, web analytics, data modeling, business analytics, digital marketing"
Data Analyst,Data Analyst,Enterprise Minds,Bengaluru,1.0,4.0,2.5,6.5,11.2,8.8,"['hive', 'python', 'sql', 'pandas', 'spark', 'data analysis', 'sql queries', 'data analytics']","hive, python, sql, pandas, spark, data analysis, sql queries, data analytics"
Data Analyst,Data Analyst - Python Programming,Leading Client,Remote,4.0,6.0,5.0,6.5,11.2,8.8,"['data analyst', 'power bi', 'data visualization', 'data visualization tools', 'sql', 'data modeling', 'tableau', 'data warehousing']","data analyst, power bi, data visualization, data visualization tools, sql, data modeling, tableau, data warehousing"
Data Analyst,Azure Data Analyst,Tata Consultancy Services,"Indore, Hyderabad, Pune",4.0,9.0,6.5,6.5,11.2,8.8,"['azure synapse', 'adf', 'power bi', 'data analysis', 'azure', 'azure data factory', 'bi', 'oracle adf']","azure synapse, adf, power bi, data analysis, azure, azure data factory, bi, oracle adf"
Data Analyst,Data Analyst,Product based company,Bengaluru,8.0,13.0,10.5,20.0,27.5,23.8,"['s3', 'data analysis', 'qliksense', 'aws', 'athena', 'data visualization', 'lambada', 'dashboard development']","s3, data analysis, qliksense, aws, athena, data visualization, lambada, dashboard development"
Data Analyst,Data Analyst,Fortune India 500 IT Services Firm,Bengaluru,7.0,12.0,9.5,14.0,24.0,19.0,"['t', 'sql', 'data warehousing', 'etl', 'star schema', 'rdbms', 'olap', 'er model', 'data modeling']","t, sql, data warehousing, etl, star schema, rdbms, olap, er model, data modeling"
Data Analyst,Gen AI/ AIML/ Data Analyst,Tata Consultancy Services,"New Delhi, Gurugram, Delhi / NCR",8.0,13.0,10.5,6.5,11.2,8.8,"['gen ai', 'telecom', 'al', 'data analytics', 'ml', 'aiml', 'telecommunication', 'analytics']","gen ai, telecom, al, data analytics, ml, aiml, telecommunication, analytics"
Data Analyst,Data Analyst,Leading Client,Hybrid - Bengaluru,0.0,2.0,1.0,6.5,11.2,8.8,"['data analysis', 'data science', 'data visualizations', 'data analytics', 'data', 'analysis', 'analytics', 'data visualization']","data analysis, data science, data visualizations, data analytics, data, analysis, analytics, data visualization"
Data Analyst,Data Analyst,Cloud Xtreme,Hybrid - Hyderabad,4.0,6.0,5.0,9.0,19.0,14.0,"['database creation', 'tableau', 'reporting', 'data analytics', 'sql azure', 'dbms', 'sql', 'data analysis']","database creation, tableau, reporting, data analytics, sql azure, dbms, sql, data analysis"
Data Analyst,Data Analyst- 6 Months Contractual,Egon Zehnder,Gurugram,1.0,5.0,3.0,6.5,11.2,8.8,"['global operations', 'data validation', 'senior management', 'analytical', 'data analyst', 'data analytics', 'manager quality control', 'operations']","global operations, data validation, senior management, analytical, data analyst, data analytics, manager quality control, operations"
Data Analyst,Data Analyst,PubMatic,Pune,2.0,5.0,3.5,6.5,11.2,8.8,"['hive', 'analytical', 'formulas', 'advertising', 'microsoft', 'dashboards', 'sql', 'analytics']","hive, analytical, formulas, advertising, microsoft, dashboards, sql, analytics"
Data Analyst,Data Analyst || Manager || Hyderabad || Night Shift,MNC,Hyderabad,7.0,12.0,9.5,14.0,18.0,16.0,"['data analysis', 'tableau', 'power bi', 'data management', 'tableau reporting', 'data analytics', 'da', 'sql']","data analysis, tableau, power bi, data management, tableau reporting, data analytics, da, sql"
Data Analyst,Data Analyst,Ascend Capital Pvt. Ltd.,Jaipur,1.0,3.0,2.0,2.5,4.0,3.2,"['advanced excel', 'data transformation', 'pivot table', 'mis analysis', 'data analysis', 'formulas', 'data cleansing', 'dashboard development']","advanced excel, data transformation, pivot table, mis analysis, data analysis, formulas, data cleansing, dashboard development"
Data Analyst,Data Analyst,Vipany Management Consulting,"Hybrid - Pune, Mumbai (All Areas)",3.0,6.0,4.5,6.5,11.2,8.8,"['sql queries', 'tableau', 'power bi', 'sql', 'data visualization', 'python', 'bi', 'data', 'query']","sql queries, tableau, power bi, sql, data visualization, python, bi, data, query"
Data Analyst,Data Analyst,Sure Solution,"Mumbai(Andheri East), Mumbai Suburban, Mumbai (All Areas)",3.0,7.0,5.0,4.0,5.0,4.5,"['power bi', 'advanced excel', 'mis reporting', 'mis preparation', 'mis development', 'conditional formatting', 'formulas', 'mis generation']","power bi, advanced excel, mis reporting, mis preparation, mis development, conditional formatting, formulas, mis generation"
Data Analyst,Data Analyst,Leading Client,Gurugram,6.0,8.0,7.0,6.5,11.2,8.8,"['statistical analyst', 'power bi', 'dashboard design', 'data analyst', 'tableau', 'data analytics', 'sql', 'python']","statistical analyst, power bi, dashboard design, data analyst, tableau, data analytics, sql, python"
Data Analyst,Data Analyst,Leading Client,Gurugram,4.0,6.0,5.0,6.5,11.2,8.8,"['data warehousing', 'power bi', 'data visualization', 'data analyst', 'data visualization tools', 'sql', 'data modeling', 'tableau']","data warehousing, power bi, data visualization, data analyst, data visualization tools, sql, data modeling, tableau"
Data Analyst,Data Analyst - Python Programming,Leading Client,Mumbai,4.0,6.0,5.0,6.5,11.2,8.8,"['data warehousing', 'power bi', 'data visualization', 'data analyst', 'data visualization tools', 'sql', 'data modeling', 'tableau']","data warehousing, power bi, data visualization, data analyst, data visualization tools, sql, data modeling, tableau"
Data Analyst,BA4 - Data Analyst,Barclays,Noida,1.0,7.0,4.0,6.5,11.2,8.8,"['data analysis', 'data management', 'operational risk', 'analytical', 'office', 'risk management', 'operations', 'analytics']","data analysis, data management, operational risk, analytical, office, risk management, operations, analytics"
Data Analyst,Data Analyst - Python Programming,Leading Client,Remote,4.0,6.0,5.0,6.5,11.2,8.8,"['python programming', 'power bi', 'data visualization', 'data analyst', 'data visualization tools', 'sql', 'data modeling', 'tableau']","python programming, power bi, data visualization, data analyst, data visualization tools, sql, data modeling, tableau"
Data Analyst,Data Analyst - Python Programming,Leading Client,Remote,4.0,6.0,5.0,6.5,11.2,8.8,"['python programming', 'power bi', 'data visualization', 'data analyst', 'data visualization tools', 'sql', 'data modeling', 'tableau']","python programming, power bi, data visualization, data analyst, data visualization tools, sql, data modeling, tableau"
Data Analyst,Data Analyst,SGS India,Pune,2.0,5.0,3.5,6.5,11.2,8.8,"['ssms', 'integration', 'power bi', 'mysql', 'data visualization', 'oracle sql', 'sql']","ssms, integration, power bi, mysql, data visualization, oracle sql, sql"
Data Analyst,Data Analyst,Sterling Tools (STL),Faridabad,4.0,9.0,6.5,6.5,11.2,8.8,"['data analytics', 'operational excellence', 'business analytics', 'data analysis', 'manufacturing operations', 'advanced excel', 'dashboards', 'business analysis']","data analytics, operational excellence, business analytics, data analysis, manufacturing operations, advanced excel, dashboards, business analysis"
Data Analyst,FHIR Data Analyst,Infosys,Bengaluru,5.0,10.0,7.5,6.5,11.2,8.8,"['fhir', 'documentation', 'facilitation', 'sdlc', 'agile methodology', 'data analysis', 'dns', 'solution delivery']","fhir, documentation, facilitation, sdlc, agile methodology, data analysis, dns, solution delivery"
Data Analyst,Data Analyst - Governance,Apptad Inc,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0.0,3.0,1.5,6.5,11.2,8.8,"['regulatory reporting', 'data governance', 'data quality', 'data analyst', 'rto', 'private equity', 'sql', 'data']","regulatory reporting, data governance, data quality, data analyst, rto, private equity, sql, data"
Data Analyst,Workday HCM Data Analyst,Alp Consulting Ltd.,Unknown,2.0,3.0,2.5,6.5,11.2,8.8,"['business process', 'health insurance', 'data analysis', 'payroll', 'data management', 'hris', 'data analyst', 'troubleshooting']","business process, health insurance, data analysis, payroll, data management, hris, data analyst, troubleshooting"
Data Analyst,Data Analyst,Titan Company,Hosur,0.0,5.0,2.5,6.5,11.2,8.8,"['data analytics', 'data visualization', 'dashboard development', 'data reporting', 'development', 'data analysis', 'data', 'dashboards']","data analytics, data visualization, dashboard development, data reporting, development, data analysis, data, dashboards"
Data Analyst,Data Analyst,VDart Technologies,Tiruchirapalli,2.0,4.0,3.0,6.5,11.2,8.8,"['excel', 'power bi', 'data analysis', 'data', 'analysis', 'bi']","excel, power bi, data analysis, data, analysis, bi"
Data Analyst,Data Analyst,Invent Arc,Ahmedabad,1.0,3.0,2.0,6.5,11.2,8.8,"['data analysis', 'data collection', 'data analyst', 'data mining', 'data', 'collections', 'analysis']","data analysis, data collection, data analyst, data mining, data, collections, analysis"
Data Analyst,Data Analyst/Office Admin,Gurmeet Singh,Ludhiana(Gill Road),1.0,5.0,3.0,2.0,5.0,3.5,"['data analysis', 'emr software', 'clickup', 'google sheets', 'report automation', 'excel', 'power bi', 'dashboard creation']","data analysis, emr software, clickup, google sheets, report automation, excel, power bi, dashboard creation"
Data Analyst,Data Analyst,Morningstar,Navi Mumbai,0.0,2.0,1.0,6.5,11.2,8.8,"['data management', 'data analytics', 'sql queries', 'data analysis', 'data validation', 'policies', 'commodities', 'investment']","data management, data analytics, sql queries, data analysis, data validation, policies, commodities, investment"
Data Analyst,"Data Analyst, EMSX",Amazon,Bengaluru,1.0,5.0,3.0,6.5,11.2,8.8,"['automation', 'sas', 'data management', 'data modeling', 'business analysis', 'windows', 'spss', 'data mining']","automation, sas, data management, data modeling, business analysis, windows, spss, data mining"
Data Analyst,"Data Analyst I, Field Effectiveness & Alignment",Bristol Myers Squibb,Hyderabad,1.0,3.0,2.0,6.5,11.2,8.8,"['operations research', 'project management', 'business analytics', 'healthcare', 'data analyst', 'data mining', 'it operations', 'analytics']","operations research, project management, business analytics, healthcare, data analyst, data mining, it operations, analytics"
Data Analyst,Data Analyst,BNP Paribas,Chennai,3.0,8.0,5.5,6.5,11.2,8.8,"['python', 'sql', 'tableau', 'database creation', 'dataprep', 'data services', 'data analysis', 'data management']","python, sql, tableau, database creation, dataprep, data services, data analysis, data management"
Data Analyst,Data Analyst,Barclaycard Payments,Noida,3.0,5.0,4.0,6.5,11.2,8.8,"['data bricks', 'data analysis', 'stakeholder management', 'data governance', 'machine learning', 'requirement analysis', 'sql', 'communication skills']","data bricks, data analysis, stakeholder management, data governance, machine learning, requirement analysis, sql, communication skills"
Data Analyst,Data Analyst,Revvity Healthcare,Thane,1.0,4.0,2.5,6.5,11.2,8.8,"['python', 'data analysis', 'power bi', 'machine learning', 'business intelligence', 'sql', 'statistics', 'communication skills']","python, data analysis, power bi, machine learning, business intelligence, sql, statistics, communication skills"
Data Analyst,Data Analyst,Eurofins,Bengaluru,3.0,6.0,4.5,6.5,11.2,8.8,"['dashboards', 'sql', 'data warehousing concepts', 'etl', 'crm', 'power bi', 'data analysis', 'data management']","dashboards, sql, data warehousing concepts, etl, crm, power bi, data analysis, data management"
Data Analyst,Data Analyst,Kalamandir Jewellers,Surat,1.0,4.0,2.5,6.5,11.2,8.8,"['conditional formatting', 'advanced excel', 'mis reporting', 'vlookup', 'dashboards', 'mis preparation', 'formulas', 'tableau']","conditional formatting, advanced excel, mis reporting, vlookup, dashboards, mis preparation, formulas, tableau"
Data Analyst,Data Analyst,Abiomed,Pune,4.0,7.0,5.5,6.5,11.2,8.8,"['digital', 'python', 'data analysis', 'supply chain', 'kpi', 'business reporting', 'business solutions', 'matrix']","digital, python, data analysis, supply chain, kpi, business reporting, business solutions, matrix"
Data Analyst,Data Analyst,Cargill,Gurugram,6.0,10.0,8.0,6.5,11.2,8.8,"['digital', 'data analysis', 'data management', 'data validation', 'data manipulation', 'data integrity', 'process improvement', 'data collection']","digital, data analysis, data management, data validation, data manipulation, data integrity, process improvement, data collection"
Data Analyst,Data Analyst,Augmont Goldtech,Unknown,3.035532994923858,6.304568527918781,4.67005076142132,6.5,11.2,8.8,"['tableau', 'sql', 'power bi', 'a', 'b testing', 'etl', 'looker', 'python', 'data analysis']","tableau, sql, power bi, a, b testing, etl, looker, python, data analysis"
Data Analyst,Data Analyst,Tech SMCSquared GCC,Bengaluru,6.0,9.0,7.5,6.5,11.2,8.8,"['bpo', 'data analysis', 'automation', 'business analytics', 'analytical', 'consulting', 'market research', 'data visualization']","bpo, data analysis, automation, business analytics, analytical, consulting, market research, data visualization"
Data Analyst,Data Analyst,Service based Top B2C/B2B MNC in Analytics Domain,Hybrid - Gurugram,3.0,8.0,5.5,6.5,11.2,8.8,"['data analyst', 'sql', 'python', 'data', 'data analysis']","data analyst, sql, python, data, data analysis"
Data Analyst,Data Analyst - C2H,Leading Client,Hybrid - Hyderabad,6.0,9.0,7.5,6.5,11.2,8.8,"['sql', 'database design', 'etl', 'python', 'presentation skills', 'schema', 'mob', 'surfing']","sql, database design, etl, python, presentation skills, schema, mob, surfing"
Data Analyst,Data Analyst,Tarento Technologies,Bengaluru,3.0,4.0,3.5,6.5,11.2,8.8,"['computer science', 'erp', 'automation', 'data structures', 'healthcare', 'data quality', 'informatica', 'analytics']","computer science, erp, automation, data structures, healthcare, data quality, informatica, analytics"
Data Analyst,Data Analyst,Rodic Consultants,Mumbai,5.0,6.0,5.5,6.5,11.2,8.8,"['advanced analytics', 'python', 'data analysis', 'bi', 'data warehousing', 'power bi', 'azure', 'dashboards']","advanced analytics, python, data analysis, bi, data warehousing, power bi, azure, dashboards"
Data Analyst,Data Analyst,Acciojob,Hyderabad,0.0,2.0,1.0,12.0,20.0,16.0,"['cdc', 'data analysis', 'spark', 'sql', 'python', 'analysis', 'data']","cdc, data analysis, spark, sql, python, analysis, data"
Data Analyst,Data Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0.0,2.0,1.0,3.0,4.0,3.5,"['power bi', 'tableau', 'data analytics', 'sql', 'python', 'excel', 'statistics', 'data analysis']","power bi, tableau, data analytics, sql, python, excel, statistics, data analysis"
Data Analyst,Data Analyst,Karmanx,Bengaluru,0.0,1.0,0.5,6.5,11.2,8.8,"['analytical skills', 'data analysis', 'data science', 'data modeling', 'html', 'data analytics', 'data analyst', 'mathematics']","analytical skills, data analysis, data science, data modeling, html, data analytics, data analyst, mathematics"
Data Analyst,Six Months Contract Role- Data Analyst,Egon Zehnder Information And Research Services Pvt Ltd.,Gurugram,0.0,1.0,0.5,6.5,11.2,8.8,"['communication skills', 'aptitude', 'advanced excel', 'data', 'excel', 'contracts', 'data analysis', 'six']","communication skills, aptitude, advanced excel, data, excel, contracts, data analysis, six"
Data Analyst,Data Analyst,Barclays,Pune,2.0,7.0,4.5,6.5,11.2,8.8,"['data cleansing', 'analyst', 'administration', 'business objects', 'sas', 'analytical', 'data quality', 'stakeholder management']","data cleansing, analyst, administration, business objects, sas, analytical, data quality, stakeholder management"
Data Analyst,Data Analyst,Sutara Learning Foundation,Bengaluru(Bannerghatta Road),0.0,1.0,0.5,6.5,11.2,8.8,"['power bi', 'data analysis', 'tableau', 'data analytics', 'sql', 's', 'data', 'bigquery']","power bi, data analysis, tableau, data analytics, sql, s, data, bigquery"
Data Analyst,Data Analyst - L4,Wipro,Bengaluru,5.0,8.0,6.5,6.5,11.2,8.8,"['data analysis', 'data mining', 'data warehousing', 'informatica', 'data integration', 'python', 'data validation', 'business analytics']","data analysis, data mining, data warehousing, informatica, data integration, python, data validation, business analytics"
Data Analyst,Data Analyst,Leading Client,"Mumbai, Gurugram, Bengaluru",1.0,6.0,3.5,6.5,11.2,8.8,"['data analysis', 'power bi', 'market research', 'sql', 'tableau', 'digital marketing', 'python', 'project management']","data analysis, power bi, market research, sql, tableau, digital marketing, python, project management"
Data Analyst,Data Analyst,Ascend Capital,Jaipur,1.0,3.0,2.0,2.5,5.0,3.8,"['advanced excel', 'pivot table', 'report automation', 'automation', 'data manipulation', 'formulas', 'conditional formatting', 'sql queries']","advanced excel, pivot table, report automation, automation, data manipulation, formulas, conditional formatting, sql queries"
Data Analyst,Data Analyst || Hyderabad || Night Shift,Wsne Consulting,Hyderabad,3.0,8.0,5.5,4.0,8.5,6.2,"['data analysis', 'excel', 'snowflake', 'advanced excel', 'tableau', 'data analytics', 'da', 'sql']","data analysis, excel, snowflake, advanced excel, tableau, data analytics, da, sql"
Data Analyst,Data Analyst,Acesoft,Hybrid - Bengaluru,3.0,7.0,5.0,6.5,11.2,8.8,"['dataikue', 'python', 'sql', 'data', 'data analysis']","dataikue, python, sql, data, data analysis"
Data Analyst,Data Analyst || Team Lead || Hyderabad || Night Shift,MNC,Hyderabad,5.0,10.0,7.5,7.0,13.0,10.0,"['data analyst', 'excel', 'data analysis', 'advanced excel', 'tableau', 'data analytics', 'da', 'sql']","data analyst, excel, data analysis, advanced excel, tableau, data analytics, da, sql"
Data Analyst,Data Analyst,Wipro,"Hybrid - Hyderabad, Bengaluru",5.0,7.0,6.0,6.5,11.2,8.8,"['tableau', 'aws', 'python', 'sql', 'data visualization', 'data', 'data analysis']","tableau, aws, python, sql, data visualization, data, data analysis"
Data Analyst,Space Data Analyst,Jones Lang LaSalle Property Consultants (India) Pv t. Ltd.,Bengaluru,2.0,5.0,3.5,6.5,11.2,8.8,"['data analysis', 'data management', 'tririga', 'hrsd', 'tableau', 'python', 'real estate', 'machine learning']","data analysis, data management, tririga, hrsd, tableau, python, real estate, machine learning"
Data Analyst,Data Analyst (IoT),Log9 Materials,Bengaluru,0.0,6.0,3.0,6.5,11.2,8.8,"['sas', 'big data analytics', 'data analyst', 'customer service', 'business intelligence', 'macros', 'analytics', 'reporting tools']","sas, big data analytics, data analyst, customer service, business intelligence, macros, analytics, reporting tools"
Data Analyst,Data Analyst,Leading Client,Hybrid - Bengaluru,3.0,5.0,4.0,6.5,11.2,8.8,"['data analysis', 'power bi', 'fabric', 'dashboard development', 'data modeling', 'salesforce data models', 'data engineering', 'schema design']","data analysis, power bi, fabric, dashboard development, data modeling, salesforce data models, data engineering, schema design"
Data Analyst,Data Analyst,Manpower group Services India,"Noida, Gurugram, Delhi / NCR",6.0,11.0,8.5,6.5,11.2,8.8,"['power bi', 'vba', 'etl', 'sql', 'python', 'data analysis', 'data visualization', 'advanced excel']","power bi, vba, etl, sql, python, data analysis, data visualization, advanced excel"
